vertice,x,y
463,599092.982,7844021.553
464,599077.654,7844012.871
465,599069.340,7844004.562
466,599053.954,7843988.790
467,599040.653,7843983.109
468,599014.137,7843972.338
469,599005.491,7843965.803
470,598999.135,7843958.514
471,598989.734,7843938.086
472,598989.289,7843926.951
473,598996.332,7843919.071
474,599092.632,7843936.377
475,599092.632,7843927.056
476,599090.257,7843906.812
477,599063.761,7843879.557
478,599034.290,7843863.414
479,598991.750,7843854.985
480,598960.259,7843855.704
481,598929.978,7843905.369
482,598950.655,7843999.712
483,598946.478,7844021.407
484,598924.215,7844035.943
485,598925.312,7844074.209
486,598901.709,7844102.800
487,598912.787,7844140.918
488,598877.705,7844160.697
489,598864.242,7844211.770
490,598878.762,7844231.091
491,598909.016,7844243.144
492,598960.064,7844258.437
493,598945.343,7844281.503
494,598915.361,7844286.955
495,598887.897,7844283.555
496,598845.076,7844271.515
497,598816.250,7844288.188
498,598817.390,7844314.011
499,598828.511,7844333.332
500,598890.684,7844384.770
501,598863.020,7844439.626
502,598870.923,7844457.629
503,598876.588,7844511.337
504,598895.421,7844513.679
505,598934.306,7844533.957
506,598984.984,7844481.371
507,598980.859,7844464.498
508,599029.583,7844500.000
509,599013.778,7844530.533
510,598979.876,7844548.001
511,598971.246,7844576.448
512,598970.615,7844590.723
513,598990.629,7844606.131
514,599000.485,7844625.483
515,599021.129,7844631.007
516,599026.571,7844621.225
517,599036.300,7844580.778
518,599051.929,7844563.993
519,599074.965,7844552.605
520,599086.040,7844549.521
521,599068.631,7844610.240
522,599117.731,7844605.501
523,599149.460,7844559.870
524,599153.467,7844511.999
525,599130.913,7844465.911
526,599135.169,7844412.467
527,599162.560,7844367.010
528,599179.224,7844325.744
529,599338.696,7844509.666
530,599306.599,7844558.403
531,599254.495,7844600.090
532,599209.443,7844645.166
533,599181.630,7844679.710
534,599162.519,7844735.690
535,599098.089,7844723.745
536,599067.323,7844760.046
537,599060.329,7844775.921
538,599088.767,7844800.788
539,599132.805,7844865.472
540,599164.201,7844915.831
541,599196.211,7844966.666
542,599173.454,7844997.638
543,599085.477,7845024.380
544,598999.379,7845017.813
545,598978.332,7845080.576
546,598955.727,7845062.993
547,598911.949,7845105.818
548,598918.432,7845148.402
549,598901.592,7845182.913
550,598865.670,7845196.164
551,598850.592,7845206.103
552,598801.390,7845206.349
553,598791.167,7845212.729
554,598790.199,7845228.253
555,598777.274,7845237.054
556,598753.571,7845171.017
557,598757.392,7845135.462
558,598755.720,7845118.976
559,598731.886,7845086.880
561,598777.562,7845337.825
562,598789.226,7845315.939
563,598827.651,7845313.040
564,598862.725,7845299.612
565,598905.141,7845275.422
566,598918.716,7845265.243
567,598984.803,7845330.716
568,599006.036,7845371.848
569,598992.910,7845403.780
570,598992.282,7845426.971
571,599000.370,7845450.747
572,599016.208,7845448.874
573,599083.971,7845414.883
574,599040.802,7845304.174
575,599053.919,7845276.001
576,599018.931,7845191.331
577,599053.385,7845173.628
578,599076.742,7845153.048
579,599116.680,7845184.703
580,599159.486,7845250.543
581,599223.644,7845126.943
582,599231.886,7845121.283
583,599241.674,7845089.595
584,599244.047,7845085.315
585,599259.599,7845093.192
586,599265.988,7845095.187
587,599275.697,7845097.490
588,599311.870,7845104.416
589,599330.683,7845104.975
590,599343.792,7845098.066
591,599365.332,7845079.787
592,599386.619,7845071.050
593,599393.827,7845065.338
594,599443.187,7844994.978
595,599525.032,7845052.123
596,599606.144,7845092.361
597,599690.866,7845150.443
598,599694.475,7845182.547
599,599678.171,7845232.018
600,599820.701,7845232.004
601,599929.361,7845218.453
602,599922.574,7845130.177
603,599881.833,7844994.391
604,599963.275,7844899.317
605,600146.601,7844912.908
606,600190.166,7844921.869
607,600207.876,7844926.000
608,600207.154,7844923.005
609,600144.013,7844771.642
610,600138.760,7844672.900
611,600069.404,7844600.290
612,600108.568,7844565.907
613,600171.059,7844539.857
614,600223.677,7844516.808
615,600293.062,7844502.074
616,600331.639,7844501.834
617,600349.851,7844547.342
618,600382.412,7844599.830
619,600432.540,7844570.220
620,600465.497,7844547.371
621,600491.772,7844517.307
622,600562.861,7844473.401
623,600651.992,7844453.071
624,600670.740,7844504.085
625,600681.790,7844539.980
626,600714.536,7844597.085
627,600711.286,7844633.371
628,600455.148,7844742.641
629,600321.457,7844961.585
630,600317.701,7844967.252
631,600723.822,7845170.870
632,600852.761,7845367.804
633,600846.035,7845366.403
634,600452.202,7845699.171
635,600418.716,7845716.382
636,600367.570,7845741.597
637,600311.134,7845653.212
638,600247.076,7845568.682
639,600159.437,7845529.338
640,600040.909,7845569.021
641,600031.183,7845648.989
642,600125.526,7845716.821
643,600216.317,7845762.744
644,600262.953,7845853.002
645,600190.853,7845934.615
646,600129.366,7846020.260
647,600191.293,7846096.185
648,600286.658,7846130.598
649,600387.411,7846149.740
650,600488.179,7846193.167
651,600178.126,7846509.458
652,600180.058,7846516.135
653,600190.228,7846529.763
654,600163.389,7846554.207
655,600182.707,7846629.965
656,600193.223,7846734.262
657,600193.787,7846739.854
658,600310.178,7846726.693
660,600138.612,7846796.850
661,600061.516,7846778.489
662,599790.149,7846773.440
663,599820.750,7847023.179
664,599515.140,7847070.684
665,599522.008,7847192.935
666,599698.488,7847274.409
667,600037.954,7847274.412
668,600352.374,7846827.304
669,600798.447,7847593.554
670,600649.083,7847613.865
671,600397.839,7847661.414
672,600262.065,7847804.046
673,600099.149,7847803.954
674,600200.990,7847675.014
675,600085.544,7847641.015
676,599990.522,7847579.899
677,599807.140,7847579.918
678,599875.069,7847430.582
679,599623.848,7847349.080
680,599562.682,7847430.538
681,599610.210,7847749.665
682,599949.692,7847770.033
683,599963.334,7847939.834
684,599868.268,7848041.622
685,599617.010,7848068.796
686,599718.879,7848286.140
687,599861.479,7848408.305
688,599623.801,7848747.821
689,599820.699,7848836.043
690,599976.934,7848746.422
691,600004.084,7848644.568
692,600241.671,7848536.012
693,600343.571,7848719.267
694,600452.142,7848780.416
695,600370.665,7849004.420
696,600404.678,7849174.218
697,600452.157,7849330.329
698,600710.215,7849371.168
699,600601.553,7849520.512
700,600526.878,7849608.799
701,600391.082,7849561.192
702,600248.436,7849622.298
703,600241.740,7849323.641
704,599690.807,7849508.642
705,599696.304,7849511.871
706,599116.920,7850234.825
707,599106.806,7850244.487
708,599163.721,7850227.393
709,599187.297,7850216.129
710,599255.691,7850156.302
711,599395.223,7850429.855
712,599246.297,7850501.214
713,599107.822,7850600.149
714,599277.533,7850743.418
715,598965.191,7850953.851
716,599189.248,7851300.121
717,599424.992,7851372.993
718,599441.783,7851362.794
719,599457.203,7851361.750
720,599517.976,7851373.257
721,599535.309,7851372.488
722,599599.135,7851366.200
723,599652.256,7851368.138
724,599678.034,7851375.492
725,599703.083,7851396.897
726,599678.034,7851375.492
0,599703.083,7851396.897
